epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,learning_rate,best_so_far
1,0.057386,98.2006,0.031768,99.0884,4345.26,1.00e-04,True
2,0.022390,99.3873,0.024721,99.2770,4343.55,1.00e-04,True
3,0.016833,99.5253,0.027599,99.1927,4362.41,1.00e-04,False
4,0.013160,99.6096,0.026061,99.2941,4377.98,1.00e-04,True
5,0.010373,99.6757,0.020887,99.4570,4354.81,1.00e-04,True
6,0.008691,99.7211,0.021178,99.5056,4314.87,1.00e-04,True
7,0.007028,99.7634,0.022759,99.4699,4362.83,1.00e-04,False
8,0.005894,99.7939,0.169202,96.2434,4378.47,1.00e-04,False
