id,orig,pred,file,batch
2,0.0,0.0,7435.png,rotation_20250721_01
3,0.0,0.0,7435.png,rotation_20250721_01
4,0.0,0.0,7435.png,rotation_20250721_01
5,0.0,0.0,7435.png,rotation_20250721_01
9,0.0,0.0,7435.png,rotation_20250721_01
10,270.0,0.0,7435.png,rotation_20250721_01
11,270.0,0.0,7435.png,rotation_20250721_01
12,0.0,0.0,7435.png,rotation_20250721_01
14,0.0,0.0,7435.png,rotation_20250721_01
16,0.0,0.0,7435.png,rotation_20250721_01
19,0.0,0.0,7435.png,rotation_20250721_01
21,0.0,0.0,7435.png,rotation_20250721_01
22,0.0,0.0,7435.png,rotation_20250721_01
23,0.0,0.0,7435.png,rotation_20250721_01
24,0.0,0.0,7435.png,rotation_20250721_01
25,0.0,0.0,7435.png,rotation_20250721_01
26,270.0,180.0,7435.png,rotation_20250721_01
27,270.0,0.0,7435.png,rotation_20250721_01
28,0.0,0.0,7435.png,rotation_20250721_01
29,0.0,0.0,7435.png,rotation_20250721_01
30,0.0,0.0,7435.png,rotation_20250721_01
31,0.0,0.0,7435.png,rotation_20250721_01
32,0.0,0.0,7435.png,rotation_20250721_01
34,0.0,0.0,7435.png,rotation_20250721_01
36,270.0,270.0,7435.png,rotation_20250721_01
37,0.0,0.0,7435.png,rotation_20250721_01
38,0.0,0.0,7435.png,rotation_20250721_01
39,0.0,0.0,7435.png,rotation_20250721_01
40,0.0,0.0,7435.png,rotation_20250721_01
41,0.0,0.0,7435.png,rotation_20250721_01
42,0.0,0.0,7435.png,rotation_20250721_01
43,0.0,0.0,7435.png,rotation_20250721_01
44,0.0,0.0,7435.png,rotation_20250721_01
45,0.0,0.0,7435.png,rotation_20250721_01
46,0.0,0.0,7435.png,rotation_20250721_01
47,0.0,0.0,7443.png,rotation_20250721_01
50,0.0,0.0,7443.png,rotation_20250721_01
51,270.0,0.0,7443.png,rotation_20250721_01
52,0.0,0.0,7443.png,rotation_20250721_01
53,270.0,0.0,7443.png,rotation_20250721_01
54,0.0,0.0,7443.png,rotation_20250721_01
56,0.0,0.0,7443.png,rotation_20250721_01
60,270.0,0.0,7443.png,rotation_20250721_01
61,270.0,0.0,7443.png,rotation_20250721_01
64,0.0,0.0,7443.png,rotation_20250721_01
65,0.0,0.0,7443.png,rotation_20250721_01
66,0.0,0.0,7443.png,rotation_20250721_01
67,0.0,0.0,7443.png,rotation_20250721_01
68,0.0,0.0,7443.png,rotation_20250721_01
69,0.0,0.0,7443.png,rotation_20250721_01
70,0.0,0.0,7443.png,rotation_20250721_01
71,270.0,0.0,7443.png,rotation_20250721_01
74,0.0,0.0,7443.png,rotation_20250721_01
75,270.0,0.0,7443.png,rotation_20250721_01
76,0.0,0.0,7443.png,rotation_20250721_01
77,0.0,0.0,7443.png,rotation_20250721_01
78,0.0,0.0,7443.png,rotation_20250721_01
79,0.0,0.0,7443.png,rotation_20250721_01
80,0.0,0.0,7443.png,rotation_20250721_01
82,0.0,0.0,7443.png,rotation_20250721_01
83,0.0,0.0,7443.png,rotation_20250721_01
84,0.0,0.0,7443.png,rotation_20250721_01
85,0.0,0.0,7443.png,rotation_20250721_01
86,0.0,0.0,7443.png,rotation_20250721_01
87,0.0,0.0,7443.png,rotation_20250721_01
89,0.0,0.0,7443.png,rotation_20250721_01
90,0.0,270.0,7443.png,rotation_20250721_01
91,0.0,0.0,7443.png,rotation_20250721_01
92,0.0,0.0,7443.png,rotation_20250721_01
93,90.0,0.0,7443.png,rotation_20250721_01
95,0.0,0.0,7443.png,rotation_20250721_01
98,270.0,270.0,7443.png,rotation_20250721_01
99,0.0,0.0,7443.png,rotation_20250721_01
100,0.0,0.0,7443.png,rotation_20250721_01
101,0.0,0.0,7443.png,rotation_20250721_01
102,0.0,0.0,7443.png,rotation_20250721_01
103,0.0,0.0,7443.png,rotation_20250721_01
104,0.0,0.0,7443.png,rotation_20250721_01
105,0.0,0.0,7443.png,rotation_20250721_01
107,0.0,0.0,7443.png,rotation_20250721_01
108,0.0,0.0,7443.png,rotation_20250721_01
109,90.0,0.0,7443.png,rotation_20250721_01
110,270.0,0.0,7443.png,rotation_20250721_01
111,0.0,270.0,7445.png,rotation_20250721_01
112,0.0,270.0,7445.png,rotation_20250721_01
113,0.0,270.0,7445.png,rotation_20250721_01
114,0.0,0.0,7445.png,rotation_20250721_01
115,0.0,270.0,7445.png,rotation_20250721_01
116,0.0,270.0,7445.png,rotation_20250721_01
117,0.0,270.0,7445.png,rotation_20250721_01
118,0.0,270.0,7445.png,rotation_20250721_01
119,0.0,0.0,7445.png,rotation_20250721_01
120,0.0,0.0,7445.png,rotation_20250721_01
121,0.0,270.0,7445.png,rotation_20250721_01
122,0.0,0.0,7445.png,rotation_20250721_01
